DIVERTER WHEEL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ITEM CODE,DIA,WIDTH,NO.OF GROOVES,ROPE DIAMETER,PITCH,"BEARING
(MAKE-FAG)",Material ,Shaft Diameter,RATED LOAD,,,,,SHAFT DETAILS,,
,,,,,,,,,,,,,,SHAFT OUTER DIAMETER,SHAFT GROOVE DISTANCE,SHAFT LENGTH
,"A
(mm)","L
(mm)",N,"RD
(mm)","P
(mm)",,,"ØB
(mm)",kg,,,,,,,
,,,,,,,,,,,,,,ØB,J,K
*BM-560_110_05G_14B,560,110,5,14,19,6214ZZ,FC 30,Ø70,7200,,,,,,,
*BM-600_136_09G_08B,600,136,9,8,12,6312ZZ,FG 260,Ø60,6500,,,,,,,
*BM-600_136_09G_08B,600,136,9,8,12,6314ZZ,FG 260,Ø70,6500,,,,,,,
 *BM-600_136_10G_08B,600,136,10,8,12,6312ZZ,FG 260,Ø60,7200,,,,,,,
 *BM-600_136_10G_08B,600,136,10,8,12,6314ZZ,FG 260,Ø70,7200,,,,,,,
*BM-600_136_07G_10B,600,136,7,10,16,6312ZZ,FG 260,Ø60,7600,,,,,,,
*BM-600_136_07G_10B,600,136,7,10,16,6314ZZ,FG 260,Ø70,7600,,,,,,,
*BM-600_136_08G_10B,600,136,8,10,16,6312ZZ,FG 260,Ø60,8300,,,,,,,
*BM-600_136_08G_10B,600,136,8,10,16,6314ZZ,FG 260,Ø70,8700,,,,,,,
 *BM-600_136_06G_13B,600,136,6,13,19,6312ZZ,FG 260,Ø60,8300,,,,,,,
 *BM-600_136_06G_13B,600,136,6,13,19,6314ZZ,FG 260,Ø70,10800,,,,,,,
