Grooves Section,PRODUCT CODE,PCD,NO OF GROOVES,BUSH,TYPE,Outside,Max. Bore,,L,N,M
,,,,,,OD,Metric,Inch,,,
,,,,,,,,,,,
A,BM-1A-100-T1FG*,100,1,1610,1,105.6,42,"1⅝""",20,5.4,-
A,BM-2A-100-T6FG*,100,2,1610,6,105.6,42,"1⅝""",35,9.6,-
A,BM-3A-100-T6FG*,100,3,1610,6,105.6,42,"1⅝""",50,24.6,-
A,BM-4A-100-T6FG,100,4,1615,6,105.6,42,"1⅝""",65,26.9,-
A,BM-5A-100-T6FG,100,5,1615,6,105.6,42,"1⅝""",80,41.9,-
A,BM-6A-100-T3FG,100,6,1615,3,105.6,42,"1⅝""",95,-,-
A,BM-1A-106-T1FG*,106,1,1610,1,111.6,42,"1⅝""",20,5.4,-
A,BM-2A-106-T6FG*,106,2,1610,6,111.6,42,"1⅝""",35,9.6,-
A,BM-3A-106-T6FG*,106,3,1610,6,111.6,42,"1⅝""",50,24.6,-
A,BM-4A-106-T6FG,106,4,1615,6,111.6,42,"1⅝""",65,26.9,-
A,BM-5A-106-T6FG,106,5,2012,6,111.6,50,"2""",80,48.2,-
A,BM-6A-106-T3FG,106,6,2012,3,111.6,50,"2""",95,-,-
A,BM-1A-112-T1FG*,112,1,1610,1,117.6,42,"1⅝""",20,5.4,-
A,BM-2A-112-T6FG*,112,2,1610,6,117.6,42,"1⅝""",35,9.6,-
A,BM-3A-112-T6FG*,112,3,2012,6,117.6,50,"2""",50,18.2,-
A,BM-4A-112-T6FG,112,4,2012,6,117.6,50,"2""",65,33.2,-
A,BM-5A-112-T6FG,112,5,2012,6,117.6,50,"2""",80,48.2,-
A,BM-6A-112-T6FG,112,6,2012,6,117.6,50,"2""",95,63.2,-
A,BM-1A-118-T1FG*,118,1,1610,1,123.6,42,"1⅝""",20,5.4,-
A,BM-2A-118-T6FG*,118,2,1610,6,123.6,42,"1⅝""",35,9.6,-
A,BM-3A-118-T6FG,118,3,2012,6,123.6,50,"2""",50,18.2,-
A,BM-4A-118-T2FG,118,4,2012,2,123.6,50,"2""",65,33.2,-
A,BM-5A-118-T6FG,118,5,2012,6,123.6,50,"2""",80,48.2,-
A,BM-6A-118-T6FG,118,6,2012,6,123.6,50,"2""",95,63.2,-
A,BM-1A-125-T1FG*,125,1,1610,1,130.6,42,"1⅝""",20,5.4,-
A,BM-2A-125-T2FG*,125,2,1610,2,130.6,42,"1⅝""",35,9.6,-
A,BM-3A-125-T2FG*,125,3,2012,2,130.6,50,"2""",50,18.2,-
A,BM-4A-125-T2FG*,125,4,2012,2,130.6,50,"2""",65,33.2,-
A,BM-5A-125-T2FG*,125,5,2012,2,130.6,50,"2""",80,48.2,-
A,BM-6A-125-T3FG,125,6,2012,3,130.6,50,"2""",95,-,-
A,BM-1A-132-T1FG,132,1,1610,1,137.6,42,"1⅝""",20,5.4,-
A,BM-2A-132-T2FG,132,2,1610,2,137.6,42,"1⅝""",35,9.6,-
A,BM-3A-132-T2FG,132,3,2012,2,137.6,50,2,50,18.2,-
A,BM-4A-132-T2FG*,132,4,2517,2,137.6,60,"2½""",65,20.5,-
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
A,BM-5A-132-T2FG,132,5,2517,2,137.6,60,"2½""",80,35.5,-
A,BM-6A-132-T3FG,132,6,2517,3,137.6,60,"2½""",95,-,-
A,BM-1A-140-T1FG*,140,1,1610,1,145.6,42,"1⅝""",20,5.4,-
A,BM-2A-140-T6FG*,140,2,2012,6,145.6,50,2,32,0.2,-
A,BM-3A-140-T2FG*,140,3,2517,2,145.6,60,"2½""",50,5.5,-
A,BM-4A-140-T2FG*,140,4,2517,2,145.6,60,"2½""",65,20.5,-
A,BM-5A-140-T2FG,140,5,2517,2,145.6,60,"2½""",80,35.5,-
A,BM-6A-140-T3FG,140,6,2517,3,145.6,60,"2½""",95,-,-
A,BM-1A-150-T1FG,150,1,1610,1,155.6,42,"1⅝""",20,5.4,-
A,BM-2A-150-T2FG*,150,2,2012,2,155.6,50,2,35,3.2,-
A,BM-3A-150-T2FG*,150,3,2517,2,155.6,60,"2½""",50,5.5,-
A,BM-4A-150-T2FG*,150,4,2517,2,155.6,60,"2½""",65,20.5,-
A,BM-5A-150-T2FG*,150,5,2517,2,155.6,60,"2½""",80,35.5,-
A,BM-6A-150-T2FG,150,6,2517,2,155.6,60,"2½""",95,50.5,-
A,BM-1A-160-T1FG*,160,1,1610,1,165.6,42,"1⅝""",20,5.4,-
A,BM-2A-160-T2FG,160,2,2012,2,165.6,50,2,35,3.2,-
A,BM-3A-160-T2FG*,160,3,2517,2,165.6,60,"2½""",50,5.5,-
A,BM-4A-160-T2FG*,160,4,2517,2,165.6,60,"2½""",65,20.5,-
A,BM-5A-160-T2FG,160,5,2517,2,165.6,60,2½,80,35.5,-
A,BM-6A-160-T3FG,160,6,2517,3,165.6,60,"2½""",95,-,-
A,BM-1A-170-T1FG*,170,1,1610,1,175.6,42,"1⅝""",20,5.4,-
A,BM-2A-170-T2FG,170,2,2012,2,175.6,50,2,35,3.2,-
A,BM-3A-170-T2FG*,170,3,2517,2,175.6,60,"2½""",50,5.5,-
A,BM-4A-170-T2FG*,170,4,2517,2,175.6,60,"2½""",65,20.5,-
A,BM-5A-170-T2FG,170,5,2517,2,175.6,60,"2½""",80,35.5,-
A,BM-6A-170-T3FG,170,6,2517,3,175.6,60,"2½""",95,-,-
A,BM-1A-180-T1FG*,180,1,1610,1,185.6,42,"1⅝""",20,5.4,-
A,BM-2A-180-T2FG*,180,2,2012,2,185.6,50,2,35,3.2,-
A,BM-3A-180-T2FG*,180,3,2517,2,185.6,60,2½,50,5.5,-
A,BM-4A-180-T2FG*,180,4,2517,2,185.6,60,"2½""",65,20.5,-
A,BM-5A-180-T2FG*,180,5,3020,2,185.6,75,"3""",80,29.2,-
A,BM-6A-180-T3FG,180,6,3020,3,185.6,75,"3""",95,44.2,-
A,BM-1A-190-T1FG*,190,1,2012,1,195.6,50,"1⅝""",20,11.8,-
A,BM-2A-190-T6FG*,190,2,2012,6,195.6,50,2,35,3.2,3.2
,,,,,,,,,,,
A,BM-3A-190-T2FG*,190,3,2517,2,195.6,60,"2½""",50,5.5,-
A,BM-4A-190-T2FG*,190,4,3020,2,195.6,75,"3""",65,14.2,-
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
A,BM-5A-190-T2FG,190,5,3020,2,195.6,75,"3""",80,29.2,-
A,BM-6A-190-T3FG,190,6,3020,3,195.6,75,"3""",95,-,-
A,BM-1A-200-T1FG*,200,1,2012,1,205.6,50,"2""",20,11.8,-
A,BM-2A-200-T8FG*,200,2,2517,8,205.6,60,"2½""",35,9.5,9.5
A,BM-3A-200-T5SG*,200,3,2517,5,205.6,60,"2½""",50,5.5,5.5
A,BM-4A-200-T2FG*,200,4,3020,2,205.6,75,"3""",65,14.2,-
A,BM-5A-200-T2FG*,200,5,3020,2,205.6,75,"3""",80,29.2,-
A,BM-6A-200-T2FG,200,6,3020,2,205.6,75,"3""",95,44.2,-
A,BM-1A-212-T1FG*,212,1,2012,1,217.6,50,"2""",20,24.5,-
A,BM-2A-212-T8FG*,212,2,2517,8,217.6,60,"2½""",35,9.5,9.5
A,BM-3A-212-T5SG*,212,3,2517,5,217.6,60,"2½""",50,5.5,5.5
A,BM-4A-212-T2FG*,212,4,3020,2,217.6,75,"3""",65,14.2,-
A,BM-5A-212-T2FG,212,5,3020,2,217.6,75,"3""",80,29.2,-
A,BM-6A-212-T3FG,212,6,3020,3,217.6,75,"3""",95,44.2,-
A,BM-1A-224-T1FG*,224,1,2012,1,229.6,50,"2""",20,11.8,-
A,BM-2A-224-T2FG*,224,2,2517,2,229.6,60,"2½""",35,9.5,-
A,BM-3A-224-T2FG*,224,3,2517,2,229.6,60,"2½""",50,5.5,-
A,BM-4A-224-T2FG*,224,4,3020,2,229.6,75,"3""",65,14.2,-
A,BM-5A-224-T2FG,224,5,3020,2,229.6,75,"3""",80,29.2,-
A,BM-6A-224-T3FG,224,6,3020,3,229.6,75,"3""",95,44.2,-
A,BM-1A-236-T1FG,236,1,2012,1,241.6,50,"2""",20,11.8,-
A,BM-2A-236-T8FG,236,2,2517,8,241.6,60,"2½""",35,9.5,9.5
A,BM-3A-236-T2FG,236,3,2517,2,241.6,60,"2½""",50,5.5,-
A,BM-4A-236-T2FG,236,4,3020,2,241.6,75,"3""",65,14.2,-
A,BM-5A-236-T2FG,236,5,3020,2,241.6,75,"3""",80,29.2,-
